Efficiency,Efficiency Certification,Fans,Kind,Link,Manufacturer,Model,Modular,Name,Output,PCI-Express 6+2-Pin Connectors,PCI-Express 6-Pin Connectors,PCI-Express 8-Pin Connectors,Part #,Prices,Type,Wattage,avg,short_link,power,eff_rank,ppw
&gt; 70%,,1,Power Supply,/product/bgW9TW/sparkle-power-supply-atx350pnb204,Sparkle,,No,Sparkle 350W ATX Power Supply,"+3.3V@22A, +5V@21A, +12V1@18A, +12V2@16A, -12V@0.3A, +5VSB@2.0A",,,,ATX-350PN-B204,"[37.99, 42.45, 39.99]",ATX12V,350 Watts,40.1433333333,sparkle-power-supply-atx350pnb204,350.0,,0.114695238095
,80+ Bronze,1,Power Supply,/product/G6tCmG/athena-power-power-supply-apmfatx30,Athena Power,,No,Athena Power 300W 80+ Bronze Certified Mini ITX Power Supply,"+3.3V@13A, +5V@13A, +12V1@9A, +12V2@9A, -12V@0.8A, -5V@0.5A, +5V-SB@2.5A",,1,,AP-MFATX30,"[79.06, 66.33]",Mini ITX,300 Watts,72.695,athena-power-power-supply-apmfatx30,300.0,2.0,0.242316666667
90% @ Typical Load,80+ Gold,1,Power Supply,/product/xnW9TW/cooler-master-power-supply-rs550amaag1,Cooler Master,,Semi,Cooler Master VSM 550W 80+ Gold Certified Semi-Modular ATX Power Supply,+3.3V@20A&lt;br/&gt;+5V@20A&lt;br/&gt;+12V@45A&lt;br/&gt;-12V@0.3A&lt;br/&gt;+5Vsb@2.5A,2,,,RS-550-AMAA-G1,[],ATX,550 Watts,0.0,cooler-master-power-supply-rs550amaag1,550.0,4.0,0.0
,80+ Bronze,1,Power Supply,/product/W8Gkcf/fsp-group-power-supply-raider550,FSP Group,,No,FSP Group 550W 80+ Bronze Certified ATX Power Supply,"+3.3V@24A, +5V@9A, +12V@42A, -12V@0.3A, +5VSB@3A",2,,,Raider 550,[],ATX12V / EPS12V,550 Watts,0.0,fsp-group-power-supply-raider550,550.0,2.0,0.0
&lt; 88%,80+ Bronze,1,Power Supply,/product/ctTmP6/thermaltake-power-supply-tpx575m,Thermaltake,,Full,Thermaltake Toughpower XT 575W 80+ Bronze Certified Fully-Modular ATX Power Supply,"+3.3V@25A, +5V@25A, +12V@48A, -12V@0.5A, +5VSB@3.0A",2,2,,TPX-575M,[],ATX12V / EPS12V,575 Watts,0.0,thermaltake-power-supply-tpx575m,575.0,2.0,0.0
,80+ Bronze,1,Power Supply,/product/gTckcf/antec-power-supply-hcg620,Antec,,No,Antec High Current Gamer 620W 80+ Bronze Certified ATX Power Supply,"+3.3V@24A, +5V@24A, +12V@48A, -12V@0.8A, +5VSB@2.5A",2,,,HCG-620,[],ATX12V / EPS12V,620 Watts,0.0,antec-power-supply-hcg620,620.0,2.0,0.0
&gt; 85%,80+ Gold,1,Power Supply,/product/CsGkcf/thermaltake-power-supply-tpx1475m,Thermaltake,,Semi,Thermaltake Toughpower XT 1475W 80+ Gold Certified Semi-Modular ATX Power Supply,"+3.3V@25A, +5V@25A, +12V1@55A, +12V2@75A, -12V@0.8A, +5VSB@4A",6,,2,TPX-1475M<br/>(or) TPX-1475MPCGAU,[279.99],ATX12V / EPS12V,1475 Watts,279.99,thermaltake-power-supply-tpx1475m,1475.0,4.0,0.189823728814
,80+ Titanium,1,Power Supply,/product/Tcbkcf/silverstone-power-supply-st80fti,Silverstone,,Full,Silverstone Strider Titanium 800W 80+ Titanium Certified Fully-Modular ATX Power Supply,,4,,,ST80F-TI<br/>(or) PS-ST80F-TI<br/>(or) SST-ST80F-TI,"[169.99, 169.99, 169.99]",ATX,800 Watts,169.99,silverstone-power-supply-st80fti,800.0,6.0,0.2124875
20% Load &gt;87% / 50%Load &gt;90% / 100%Load &gt;87%,80+ Gold,1,Power Supply,/product/Jj6BD3/inwin-power-supply-commanderiii600,Inwin,,Semi,Inwin 600W 80+ Gold Certified Semi-Modular ATX Power Supply,"+3.3V@24A, +5V@24A, +12V1@25A, +12V2@25A, +12V3@25A, +12V4@25A, -12V@0.3A, +5VSB@3A",4,,,Commander III 600,[117.91],ATX12V / EPS12V,600 Watts,117.91,inwin-power-supply-commanderiii600,600.0,4.0,0.196516666667
&gt; 70%,,3,Power Supply,/product/JZyFf7/apevia-power-supply-atxas680wbl,Apevia,,No,Apevia 680W ATX Power Supply,"+3.3V@38A, +5V@40A, +12V1@22A, +12V2@24A, -5V@0.3A, -12V@0.8A, +5VSB@2A",,2,,ATX-AS680W-BL,[58.99],ATX12V / EPS12V,680 Watts,58.99,apevia-power-supply-atxas680wbl,680.0,,0.08675
&gt; 65%,,1,Power Supply,/product/7qn2FT/apex-power-supply-sl275tfx,Apex,,No,Apex 275W TFX Power Supply,,,,,SL-275TFX,"[23.99, 24.99, 30.66, 32.7, 24.99, 28.99]",TFX12V,275 Watts,27.72,apex-power-supply-sl275tfx,275.0,,0.1008
88-91%,80+ Gold,1,Power Supply,/product/QfW9TW/silverstone-power-supply-sstst1200gevolution,Silverstone,,Full,Silverstone Strider Gold Evolution 1200W 80+ Gold Certified Fully-Modular ATX Power Supply,"+3.3V@25A, +5V@25A, +12V@100A, -12V@0.3A, +5VSB@3.5A",4,4,,SST-ST1200-G Evolution<br/>(or) ST1200-G Evolution,"[249.99, 249.99, 247.76]",ATX12V / EPS12V,1200 Watts,249.246666667,silverstone-power-supply-sstst1200gevolution,1200.0,4.0,0.207705555556
&lt; 81%,,1,Power Supply,/product/bHg323/zalman-power-supply-zm500hp,Zalman,,Semi,Zalman 500W Semi-Modular ATX Power Supply,"+3.3V@24A, +5V@24A, +12V1@25A, +12V2@18A, -12V@0.5A, +5VSB@2.5A",,2,,ZM500-HP,[137.99],ATX12V / EPS12V,500 Watts,137.99,zalman-power-supply-zm500hp,500.0,,0.27598
,80+ Gold,1,Power Supply,/product/PtPfrH/fractal-design-power-supply-fdpsuts2b1000w,Fractal Design,,No,Fractal Design Tesla R2 1000W 80+ Gold Certified ATX Power Supply,"+3.3V@20A, +5V@20A, +12V@80A, -12V@0.5A, +5VSB@2.5A",6,,,FD-PSU-TS2B-1000W,[],ATX12V / EPS12V,1000 Watts,0.0,fractal-design-power-supply-fdpsuts2b1000w,1000.0,4.0,0.0
,80+ Bronze,1,Power Supply,/product/WTwqqs/seasonic-power-supply-ss600et,SeaSonic,,No,SeaSonic 600W 80+ Bronze Certified ATX Power Supply,"+3.3V@24A, +5V@24A, +12V1@46A, +12V2@46A, -12V@0.8A, +5VSB@2.5A",1,1,1,SS-600ET,"[75.3, 75.3]",ATX,600 Watts,75.3,seasonic-power-supply-ss600et,600.0,2.0,0.1255
&lt; 88%,80+ Bronze,1,Power Supply,/product/sFkD4D/thermaltake-power-supply-tpx675m,Thermaltake,,Semi,Thermaltake Toughpower XT 675W 80+ Bronze Certified Semi-Modular ATX Power Supply,"+3.3V@25A, +5V@25A, +12V@56A, -12V@0.5A, +5VSB@3.0A",2,2,,TPX-675M,[],ATX12V / EPS12V,675 Watts,0.0,thermaltake-power-supply-tpx675m,675.0,2.0,0.0
,,1,Power Supply,/product/YCmxFT/cooler-master-power-supply-rs600acabd3,Cooler Master,,No,Cooler Master Thunder  600W ATX Power Supply,,2,,,RS-600-ACAB-D3<br/>(or) RS600-ACAB-D3-AU,[],ATX,600 Watts,0.0,cooler-master-power-supply-rs600acabd3,600.0,,0.0
80%,80+,1,Power Supply,/product/pZYXsY/thermaltake-power-supply-sp730p,Thermaltake,,No,Thermaltake Smart 730W 80+ Certified ATX Power Supply,"+5V@20A, +3.3V@24A, +12V@56A, -12V@0.3A, +5VSB@3.0A",4,,,SP-730P,[111.14],ATX12V,730 Watts,111.14,thermaltake-power-supply-sp730p,730.0,1.0,0.152246575342
&lt; 80%,,1,Power Supply,/product/tPw323/cougar-power-supply-sl400,Cougar,,No,Cougar 400W ATX Power Supply,"+3.3V@20A, +5V@19A, +12V1@15A, +12V2@16A, -12V@0.5A, +5VSB@2A",1,,,SL400,[32.99],ATX12V,400 Watts,32.99,cougar-power-supply-sl400,400.0,,0.082475
&gt; 70%,,2,Power Supply,/product/XNmLrH/apevia-power-supply-atxcw500wp4,Apevia,,No,Apevia 500W ATX Power Supply,"+3.3V@17A, +5V@25A, +12V1@16A, +12V2@18A, -5V@0.5A, -12V@0.8A, +5VSB@3.0A",,1,,ATX-CW500WP4,[],ATX,500 Watts,0.0,apevia-power-supply-atxcw500wp4,500.0,,0.0
&gt; 85%,80+ Bronze,1,Power Supply,/product/ZrZQzy/cooler-master-power-supply-rs600acaab1us,Cooler Master,,No,Cooler Master i600 600W 80+ Bronze Certified ATX Power Supply,"+3.3V@20A, +5V@A20A,+12V@48A, -12V@0.3A, +5Vsb@2.5A",2,,,RS600-ACAAB1-US,[],ATX12V / EPS12V,600 Watts,0.0,cooler-master-power-supply-rs600acaab1us,600.0,2.0,0.0
&gt; 80%,,1,Power Supply,/product/3d98TW/zalman-power-supply-400le,Zalman,,No,Zalman LE 400W ATX Power Supply,,,2,,400-LE,[],ATX,400 Watts,0.0,zalman-power-supply-400le,400.0,,0.0
,,1,Power Supply,/product/BNK7YJ/lepa-power-supply-n600sb,LEPA,,No,LEPA MX-F1 600W ATX Power Supply,"+3.3V@15A, +5V@20A, +12V1@15A, +12V2@16A, -12V@0.5A, +5Vsb@2.5A",2,,,N600-SB,"[39.99, 46.99]",ATX12V / EPS12V,600 Watts,43.49,lepa-power-supply-n600sb,600.0,,0.0724833333333
87-92%,80+ Gold,1,Power Supply,/product/Jnckcf/thermaltake-power-supply-pstpg0750dpcgus1,Thermaltake,,Full,Thermaltake Toughpower 750W 80+ Gold Certified Fully-Modular ATX Power Supply,,4,,,PS-TPG-0750DPCGUS-1,"[170.44, 299.95]",ATX12V / EPS12V,750 Watts,235.195,thermaltake-power-supply-pstpg0750dpcgus1,750.0,4.0,0.313593333333
82-85%,80+ Bronze,1,Power Supply,/product/6ZyFf7/silverstone-power-supply-st60fp,Silverstone,,No,Silverstone Strider Plus 600W 80+ Bronze Certified ATX Power Supply,"+3.3V@24A, +5V@24A, +12V1@42A, -12V@0.3A, +5VSB@2.5A",1,3,,ST60F-P<br/>(or) SST-ST60F-P,[109.99],ATX12V / EPS12V,600 Watts,109.99,silverstone-power-supply-st60fp,600.0,2.0,0.183316666667
&lt; 85%,80+,1,Power Supply,/product/8vxfrH/antec-power-supply-bp550plus,Antec,,Semi,Antec Basiq Plus 550W 80+ Certified Semi-Modular ATX Power Supply,"+3.3V@28A, +5V@26A, +12V1@22A, +12V2@22A, +12V3@25A, -12V@0.5A, +5VSB@2.5A",1,1,,BP550 Plus,[89.95],ATX12V,550 Watts,89.95,antec-power-supply-bp550plus,550.0,1.0,0.163545454545
&lt; 89%,80+ Bronze,1,Power Supply,/product/y2CwrH/thermaltake-power-supply-tpx775m,Thermaltake,,Full,Thermaltake Toughpower XT 775W 80+ Bronze Certified Fully-Modular ATX Power Supply,"+3.3V@25A, +5V@25A, +12V@64A, -12V@0.5A, +5VSB@3.0A",2,2,,TPX-775M,[],ATX12V / EPS12V,775 Watts,0.0,thermaltake-power-supply-tpx775m,775.0,2.0,0.0
&lt; 90%,80+ Gold,1,Power Supply,/product/MwxfrH/be-quiet-power-supply-bn191,be quiet!,STRAIGHT POWER E9 | 450W,No,be quiet! 450W 80+ Gold Certified ATX Power Supply,,2,,,BN191,[],ATX12V / EPS12V,450 Watts,0.0,be-quiet-power-supply-bn191,450.0,4.0,0.0
&gt; 80%,80+ Bronze,1,Power Supply,/product/DvMFf7/topower-power-supply-top800wb,Topower,,No,Topower 800W 80+ Bronze Certified ATX Power Supply,"+3.3V@26A, +5V@26A, +12V1@32A, +12V2@32A, -12V@0.8A, +5VSB@3.0A",2,2,,TOP-800WB,[],ATX12V,800 Watts,0.0,topower-power-supply-top800wb,800.0,2.0,0.0
,80+ Bronze,1,Power Supply,/product/kXTmP6/cougar-power-supply-px700v2,Cougar,,No,Cougar POWERX 700W 80+ Bronze Certified ATX Power Supply,"+3.3V@24A, +5V@20A, +12V1@30A, +12V2@26A, -12V@0.3A, +5VSB@3A",2,2,,PX700V2,[94.98],ATX12V / EPS12V,700 Watts,94.98,cougar-power-supply-px700v2,700.0,2.0,0.135685714286
89-94%,80+ Platinum,1,Power Supply,/product/8Hckcf/rosewill-power-supply-fortress550,Rosewill,,No,Rosewill Fortress 550W 80+ Platinum Certified ATX Power Supply,"+3.3V@20A, +5V@20A, +12V@45.5A, -12V@0.5A, +5VSB@2.5A",2,,,FORTRESS-550,"[109.98, 119.93]",ATX12V / EPS12V,550 Watts,114.955,rosewill-power-supply-fortress550,550.0,5.0,0.209009090909
&lt; 90%,80+ Gold,1,Power Supply,/product/FWH323/zalman-power-supply-zm750xg,Zalman,,Semi,Zalman 750W 80+ Gold Certified Semi-Modular ATX Power Supply,,2,,,zm-750-XG,[159.99],ATX12V / EPS12V,750 Watts,159.99,zalman-power-supply-zm750xg,750.0,4.0,0.21332
,,1,Power Supply,/product/43phP6/startech-power-supply-atx2pow400hs,StarTech,,No,StarTech 400W ATX Power Supply,"+3.3V@28A, +5V@30A, +12V1@14A, +12V2@15A, +5VSB@2.5A",,1,,ATX2POW400HS,[78.68],ATX12V,400 Watts,78.68,startech-power-supply-atx2pow400hs,400.0,,0.1967
,80+ Gold,1,Power Supply,/product/QtnG3C/nox-power-supply-nxhummer750gd,NOX,,No,NOX Hummer GD 750W 80+ Gold Certified ATX Power Supply,,4,,,NXHUMMER750GD,[],ATX,750 Watts,0.0,nox-power-supply-nxhummer750gd,750.0,4.0,0.0
&gt; 87%,80+ Bronze,1,Power Supply,/product/3PBv6h/kingwin-power-supply-lz1000,Kingwin,,Semi,Kingwin Lazer 1000W 80+ Bronze Certified Semi-Modular ATX Power Supply,,3,3,,LZ-1000,[139.99],ATX12V / EPS12V,1000 Watts,139.99,kingwin-power-supply-lz1000,1000.0,2.0,0.13999
,80+ Bronze,1,Power Supply,/product/2NtCmG/fsp-group-power-supply-raider450,FSP Group,,No,FSP Group 450W 80+ Bronze Certified ATX Power Supply,"+3.3V@24A, +5V@8A, +12V@36A, -12V@0.3A, +5VSB@3A",2,,,Raider 450,"[59.98, 65.92, 65.97]",ATX12V / EPS12V,450 Watts,63.9566666667,fsp-group-power-supply-raider450,450.0,2.0,0.142125925926
,80+ Platinum,0,Power Supply,/product/TFw323/super-flower-power-supply-sf500p14fg,Super Flower,,Semi,Super Flower Golden Silent 500W 80+ Platinum Certified Semi-Modular Fanless ATX Power Supply,,2,,,SF-500P14FG,[],ATX12V / EPS12V,500 Watts,0.0,super-flower-power-supply-sf500p14fg,500.0,5.0,0.0
&gt; 86%,80+,1,Power Supply,/product/XtTmP6/thermaltake-power-supply-tr700p,Thermaltake,,No,Thermaltake TR2 700W 80+ Certified ATX Power Supply,,2,2,,TR-700P,[],ATX12V / EPS12V,700 Watts,0.0,thermaltake-power-supply-tr700p,700.0,1.0,0.0
,,2,Power Supply,/product/WFDwrH/topower-power-supply-zu550w,Topower,,No,Topower 550W ATX Power Supply,"+3.3V@30A, +5V@50A, +12V1@20A, +12V2@20A, -5V@0.5A, -12V@0.8A, +5VSB@3A",,2,,ZU-550W,"[43.99, 52.99]",ATX12V / EPS12V,550 Watts,48.49,topower-power-supply-zu550w,550.0,,0.0881636363636
&lt; 85%,80+ Bronze,1,Power Supply,/product/3rbp99/corsair-power-supply-tx850m,Corsair,,Semi,Corsair Enthusiast 850W 80+ Bronze Certified Semi-Modular ATX Power Supply,"+3.3V@30A, +5V@30A, +12V@70A, -12V@0.8A, +5VSB@3A",4,,,TX850M<br/>(or) CP-9020004-UK<br/>(or) CP-9020004-NA,[169.99],ATX12V / EPS12V,850 Watts,169.99,corsair-power-supply-tx850m,850.0,2.0,0.199988235294
&gt; 87% (Up to 92%),80+ Gold,1,Power Supply,/product/cC3RsY/rosewill-power-supply-capstone1000m,Rosewill,,Semi,Rosewill 1000W 80+ Gold Certified Semi-Modular ATX Power Supply,"+3.3V@24A,+5V@24A,+12V@82A,-12V@0.5A,+5VSB@3A",6,,,CAPSTONE-1000-M,[],ATX12V / EPS12V,1000 Watts,0.0,rosewill-power-supply-capstone1000m,1000.0,4.0,0.0
,80+ Gold,1,Power Supply,/product/JHx9TW/fractal-design-power-supply-fdpsued1b650w,Fractal Design,,Semi,Fractal Design Edison M 650W 80+ Gold Certified Semi-Modular ATX Power Supply,,2,,,FD-PSU-ED1B-650W,[],ATX,650 Watts,0.0,fractal-design-power-supply-fdpsued1b650w,650.0,4.0,0.0
&gt; 65%,,2,Power Supply,/product/Rbg323/apex-power-supply-ala400atx,Apex,,No,Apex 400W ATX Power Supply,"+3.3V@20A, +5V@14A, +12V1@14A, +12V2@13A, -12V@0.3A, +5VSB@2.5A",,,,AL-A400ATX,[29.99],ATX12V,400 Watts,29.99,apex-power-supply-ala400atx,400.0,,0.074975
88%,80+ Gold,1,Power Supply,/product/43DwrH/raidmax-power-supply-rx850ae,Raidmax,,Semi,Raidmax 850W 80+ Gold Certified Semi-Modular ATX Power Supply,"+3.3V@24A, +5V@30A, +12V1@34A, +12V2@34A, +12V3@34A, +12V4@34A,-12V@0.5A ,5VSB@3.0A",4,,,RX-850AE,[],ATX12V / EPS12V,850 Watts,0.0,raidmax-power-supply-rx850ae,850.0,4.0,0.0
82-88%,80+ Bronze,1,Power Supply,/product/YrZQzy/enermax-power-supply-etl550awt,Enermax,,Semi,Enermax NAXN ADV. 550W 80+ Bronze Certified Semi-Modular ATX Power Supply,"+3.3V@18A, +5V@15A, +12V1@42A, +12V2@19A, -12V@0.3A, +5VSB@2.5A",1,1,,ETL550AWT,[79.99],ATX12V / EPS12V,550 Watts,79.99,enermax-power-supply-etl550awt,550.0,2.0,0.145436363636
&lt; 85%,80+ Bronze,1,Power Supply,/product/X3xfrH/xion-power-supply-axp700k14xe,Xion,,Semi,Xion 700W 80+ Bronze Certified Semi-Modular ATX Power Supply,"+3.3V@25A, +5V@25A, +12V1@25A, +12V2@25A, -12V@0.3A, +5VSB@2.5A",,2,,AXP-700K14XE,[],ATX,700 Watts,0.0,xion-power-supply-axp700k14xe,700.0,2.0,0.0
&gt; 90%,80+ Gold,1,Power Supply,/product/mz3RsY/fsp-group-power-supply-au1200pro,FSP Group,,No,FSP Group 1200W 80+ Gold Certified ATX Power Supply,"25A @ +3.3V DC, 25A @ +5V DC, 100A @ +12V DC, 0.8A @ -12V DC, 3.0A @ +5Vsb DC Standby",8,,,AU-1200PRO,[],ATX12V / EPS12V,1200 Watts,0.0,fsp-group-power-supply-au1200pro,1200.0,4.0,0.0
up to 88%,80+ Bronze,1,Power Supply,/product/qQphP6/thermaltake-power-supply-sp650mpcbus,Thermaltake,,Semi,Thermaltake Smart 650W 80+ Bronze Certified Semi-Modular ATX Power Supply,"+3.3V@24A, +5V@24V, +12V@52A, -12V@0.5A, +5VSB@3A",4,,,SP-650MPCBUS,"[73.43, 83.99]",ATX12V,650 Watts,78.71,thermaltake-power-supply-sp650mpcbus,650.0,2.0,0.121092307692
94%,80+ Titanium,1,Power Supply,/product/cn3RsY/corsair-power-supply-cp9020057na,Corsair,AX1500i,Full,Corsair AX1500i 1500W 80+ Titanium Certified Fully-Modular ATX Power Supply,"+3.3V@30A, +5V@30A, +12V@125A, -12V@0.8A, +5Vsb@3.5A",12,,,CP-9020057-NA<br/>(or) CP-9020057-UK<br/>(or) AX1500i<br/>(or) CMPSU-AX1500i<br/>(or) CP-9020057-EU,"[399.98, 409.99, 416.43, 399.98, 449.99, 529.99]",ATX12V / EPS12V,1500 Watts,434.393333333,corsair-power-supply-cp9020057na,1500.0,6.0,0.289595555556
75%,,1,Power Supply,/product/FLTmP6/thermaltake-power-supply-w0307ru,Thermaltake,,Full,Thermaltake Evo Blue 650W Fully-Modular ATX Power Supply,,,2,2,W0307RU,[],ATX12V / EPS12V,650 Watts,0.0,thermaltake-power-supply-w0307ru,650.0,,0.0
Up to 87.40%,80+ Bronze,135,Power Supply,/product/NwNp99/raidmax-power-supply-rx500afb,Raidmax,,No,Raidmax Cobra 500W 80+ Bronze Certified ATX Power Supply,"+3.3V@20A, +5V@20A, +12V@32A, -12V@0.5A ,5VSB@2.5A",1,,,RX-500AF-B,"[39.99, 43.62]",ATX12V / EPS12V,500 Watts,41.805,raidmax-power-supply-rx500afb,500.0,2.0,0.08361
&lt; 85%,80+ Bronze,1,Power Supply,/product/vTckcf/xfx-power-supply-p1850scab9,XFX,,No,XFX 850W 80+ Bronze Certified ATX Power Supply,"+3.3V@25A, +5V@25A, +12V1@70A, -12V@0.5A, +5VSB@3.0A",2,2,,P1-850S-CAB9,[],ATX12V / EPS12V,850 Watts,0.0,xfx-power-supply-p1850scab9,850.0,2.0,0.0
,80+ Bronze,1,Power Supply,/product/W69KHx/xfx-power-supply-p1850xxxb9,XFX,,Semi,XFX 850W 80+ Bronze Certified Semi-Modular ATX Power Supply,"+3.3V@25A, +12V@70A, +5V@25A, -12V@0.5A, +5VSB@3A",4,,,P1-850X-XXB9,[],ATX12V / EPS12V,850 Watts,0.0,xfx-power-supply-p1850xxxb9,850.0,2.0,0.0
,80+ Bronze,1,Power Supply,/product/bfw323/fsp-group-power-supply-raider650,FSP Group,,No,FSP Group 650W 80+ Bronze Certified ATX Power Supply,"+3.3V@25A, +5V@13.5A, +12V@50A, -12V@0.3A, +5VSB@3A",2,,,Raider 650,[],ATX12V / EPS12V,650 Watts,0.0,fsp-group-power-supply-raider650,650.0,2.0,0.0
"Efficiency (%) at  230V, 20% load: 84&lt;br/&gt;Efficiency (%) at  230V, 50% load: 87&lt;br/&gt;Efficiency (%) at  230V,100% load: 84",80+ Bronze,1,Power Supply,/product/cRjG3C/be-quiet-power-supply-bn624,be quiet!,,No,be quiet! Pure Power L8 600W 80+ Bronze Certified ATX Power Supply,+3.3V@25A&lt;br/&gt;+5V@18A&lt;br/&gt;+12V1@30A&lt;br/&gt;+12V2@	30A&lt;br/&gt;-12V@0.30A&lt;br/&gt;+5Vsb@	3.00A,4,,,BN624,[],ATX12V / EPS12V,600 Watts,0.0,be-quiet-power-supply-bn624,600.0,2.0,0.0
91%,80+ Silver,1,Power Supply,/product/LyCwrH/thermaltake-power-supply-tp1000m,Thermaltake,,Semi,Thermaltake Toughpower 1000W 80+ Silver Certified Semi-Modular ATX Power Supply,"+3.3V@25A, +5V@25A, +12V1@50A, +12V2@70A, -12V@0.3A, +5VSB@3.5A",8,,,TP-1000M,[230.72],ATX12V / EPS12V,1000 Watts,230.72,thermaltake-power-supply-tp1000m,1000.0,3.0,0.23072
Up to 85%,80+ Bronze,1,Power Supply,/product/8WkD4D/corsair-power-supply-tx750v2,Corsair,,No,Corsair Enthusiast 750W 80+ Bronze Certified ATX Power Supply,"+3.3V@30A, +5V@30A, +12V@62A, -12V@0.8A, +5VSB@3.0A",4,,,TX750 V2<br/>(or) CP-9020042-NA,[139.99],ATX12V / EPS12V,750 Watts,139.99,corsair-power-supply-tx750v2,750.0,2.0,0.186653333333
&gt; 85%,80+ Bronze,1,Power Supply,/product/JHyFf7/fsp-group-power-supply-fsp30060ght85,FSP Group,,No,FSP Group 300W 80+ Bronze Certified TFX Power Supply,"20.0A @ +3.3V, 22.0A @ +5V, 14.0A @ +12V1, 16.0A @ +12V2, 0.5A @ -12V, 2.0A @ +5Vsb",,,,FSP300-60GHT(85),[],TFX12V,300 Watts,0.0,fsp-group-power-supply-fsp30060ght85,300.0,2.0,0.0
&lt; 85%,80+ Bronze,1,Power Supply,/product/p4bp99/corsair-power-supply-tx550m,Corsair,,Semi,Corsair Enthusiast 550W 80+ Bronze Certified Semi-Modular ATX Power Supply,"+3.3V@25A, +5V@25A, +12V@45A, -12V@0.8A, +5VSB@3A",2,,,TX550M,[],ATX12V / EPS12V,550 Watts,0.0,corsair-power-supply-tx550m,550.0,2.0,0.0
,,1,Power Supply,/product/dHzZxr/ultra-power-supply-ultlsp450,Ultra,,No,Ultra 450W ATX Power Supply,,,1,,ULTLSP450,[],ATX,450 Watts,0.0,ultra-power-supply-ultlsp450,450.0,,0.0
&gt; 85%,80+ Bronze,1,Power Supply,/product/RxMFf7/thermaltake-power-supply-w0319ru,Thermaltake,,Semi,Thermaltake Black Widow 850W 80+ Bronze Certified Semi-Modular ATX Power Supply,"+3.3V@25A, +5V@25A, +12V@69A, -12V@0.6A, +5VSB@3.0A",2,2,,W0319RU,[],ATX12V / EPS12V,850 Watts,0.0,thermaltake-power-supply-w0319ru,850.0,2.0,0.0
,80+ Silver,1,Power Supply,/product/4mGj4D/ultra-power-supply-u1241563,Ultra,,Full,Ultra X4 850W 80+ Silver Certified Fully-Modular ATX Power Supply,,,3,3,U12-41563,[],ATX,850 Watts,0.0,ultra-power-supply-u1241563,850.0,3.0,0.0
,80+ Silver,1,Power Supply,/product/ft648d/ultra-power-supply-u1241564,Ultra,,Full,Ultra X4 1050W 80+ Silver Certified Fully-Modular ATX Power Supply,,,3,3,U12-41564,[],ATX,1050 Watts,0.0,ultra-power-supply-u1241564,1050.0,3.0,0.0
89-92%,80+ Platinum,1,Power Supply,/product/7NCwrH/kingwin-power-supply-lzp750,Kingwin,,Semi,Kingwin Lazer Platinum 750W 80+ Platinum Certified Semi-Modular ATX Power Supply,"+3.3V@20A, +5V@20A, +12V@62A, -12V@0.5A, +5VSB@2.5A",4,,,LZP-750,[],ATX12V / EPS12V,750 Watts,0.0,kingwin-power-supply-lzp750,750.0,5.0,0.0
80%,80+,1,Power Supply,/product/xDW9TW/thermaltake-power-supply-sp630p,Thermaltake,,No,Thermaltake Smart 630W 80+ Certified ATX Power Supply,"+5V@15A, +3.3V@24A, +12V@45A, -12V@0.3A, +5VSB@3.0A",2,,,SP-630P,[],ATX12V,630 Watts,0.0,thermaltake-power-supply-sp630p,630.0,1.0,0.0
&lt; 90%,80+ Gold,1,Power Supply,/product/ngvRsY/nzxt-power-supply-np1gm1000a,NZXT,HALE90 V2 1000W,Full,NZXT HALE90 V2 1000W 80+ Gold Certified Fully-Modular ATX Power Supply,"+3.3V@30A, +5V@30A, +12V@83A, -12V@0.8A, +5VSB@4A",6,,,NP-1GM-1000A,[],ATX,1000 Watts,0.0,nzxt-power-supply-np1gm1000a,1000.0,4.0,0.0
,80+ Gold,1,Power Supply,/product/kYvRsY/thermaltake-power-supply-evo650mpcgus,Thermaltake,,Semi,Thermaltake EVO-Blue 650W 80+ Gold Certified Semi-Modular ATX Power Supply,"+3.3V@20A, +5V@20A, +12V@54A, -12V@0.8A, +5VSB@3A",4,,,EVO-650MPCGUS,[],ATX12V / EPS12V,650 Watts,0.0,thermaltake-power-supply-evo650mpcgus,650.0,4.0,0.0
&gt; 80%,80+ Bronze,1,Power Supply,/product/rrkD4D/nzxt-power-supply-hale82650m,NZXT,,Semi,NZXT HALE82 650W 80+ Bronze Certified Semi-Modular ATX Power Supply,"+3.3V@23A, +5V@25A, +12V@53A, -12V@0.5A, +5VSB@3.0A",2,2,,HALE82-650-M,[],ATX12V / EPS12V,650 Watts,0.0,nzxt-power-supply-hale82650m,650.0,2.0,0.0
&gt; 82%,80+ Bronze,1,Power Supply,/product/2nvRsY/antec-power-supply-ea430dgreen,Antec,,No,Antec EarthWatts Green 430W 80+ Bronze Certified ATX Power Supply,"+3.3V@20A, +5V@20A, +12V1@17A, +12V2@16A, -12V@0.8A, +5VSB@2.5A",,1,,EA-430D Green<br/>(or) EA 430D,[],ATX12V / EPS12V,430 Watts,0.0,antec-power-supply-ea430dgreen,430.0,2.0,0.0
